epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,708.64,1.06049,1.91264,1.18075,1.45932,0.58722,0.73469,0.54964,0.27877,0.58692,0.71429,0.57783,0.26804,1.45184,2.37303,1.84168,1.82647,0.001208,0.001208,0.001208
42,722.876,1.08989,1.82394,1.19596,1.46338,0.64118,0.72941,0.61371,0.28375,0.63443,0.71429,0.59084,0.26131,1.43574,2.55032,1.72262,1.81233,0.0011882,0.0011882,0.0011882
43,738.017,1.04339,1.78736,1.23603,1.42117,0.68937,0.67944,0.67996,0.34822,0.66866,0.65903,0.66893,0.32734,1.38304,2.37467,1.65564,1.78791,0.0011684,0.0011684,0.0011684
44,754.732,1.03749,1.74109,1.20958,1.47639,0.6086,0.73469,0.67987,0.34096,0.59481,0.71429,0.64687,0.3285,1.43938,2.49372,1.62745,1.84683,0.0011486,0.0011486,0.0011486
45,769.39,0.96524,1.68567,1.16344,1.3869,0.59066,0.69388,0.62482,0.33871,0.59066,0.69388,0.63616,0.31198,1.50023,2.40353,1.70255,1.85229,0.0011288,0.0011288,0.0011288
46,789.107,1.01285,1.76646,1.17957,1.38928,0.66895,0.73469,0.71604,0.40129,0.67928,0.73469,0.69924,0.36292,1.43138,2.43524,1.48701,1.84652,0.001109,0.001109,0.001109
47,813.471,0.95253,1.76488,1.1241,1.38917,0.63546,0.7551,0.65773,0.38147,0.72828,0.65306,0.64091,0.3231,1.44992,2.58384,1.54959,1.92238,0.0010892,0.0010892,0.0010892
48,833.993,0.95984,1.54,1.069,1.3564,0.60077,0.7551,0.59122,0.31001,0.58293,0.71311,0.58589,0.29253,1.4734,2.6747,1.66876,1.92172,0.0010694,0.0010694,0.0010694
49,848.368,0.9331,1.53896,1.0378,1.34964,0.56035,0.63265,0.54858,0.29931,0.60524,0.67347,0.63591,0.31466,1.54588,2.53886,1.6213,2.00839,0.0010496,0.0010496,0.0010496
50,868.7,0.95844,1.6793,1.05788,1.37689,0.46244,0.79592,0.55035,0.29398,0.62784,0.61982,0.60289,0.2815,1.47434,2.59994,1.66083,1.91975,0.0010298,0.0010298,0.0010298
