                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7268,                 2.6967,                 1.6737,                 1.6647,                0.34294,                0.30655,                0.26882,                0.13013,                0.26862,                 0.2621,                0.21373,                0.10374,                 2.0255,                 3.4698,                 3.1874,                 2.0436,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.7163,                 2.6713,                 1.6368,                 1.6392,                0.44324,                0.37501,                0.30286,                0.14662,                0.36984,                0.32138,                0.22653,                0.10873,                 1.8987,                 3.1912,                 2.1323,                 1.8843,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.7266,                 2.7134,                 1.6343,                 1.6416,                0.33109,                0.37808,                0.30634,                0.14557,                 0.3722,                0.26753,                0.25422,                0.12219,                  1.847,                 3.3963,                 2.0342,                 1.8461,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.6746,                 2.5901,                 1.6027,                 1.5916,                0.34835,                0.43337,                0.33955,                0.15726,                0.32238,                0.40885,                0.27241,                0.11794,                 1.8721,                 2.8832,                 1.9349,                 1.8496,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.6918,                 2.6611,                 1.5969,                   1.59,                0.46196,                0.35834,                0.36545,                0.18258,                0.34291,                0.39177,                0.30814,                0.14002,                 1.8611,                  2.825,                   1.79,                 1.8466,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.6474,                 2.6326,                 1.5849,                 1.5787,                0.39608,                0.35598,                0.31724,                0.15374,                0.34145,                0.33464,                0.26489,                 0.1288,                 1.8226,                 3.3282,                 2.0493,                 1.8108,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.7042,                 2.6516,                 1.5946,                 1.6234,                0.45435,                0.20976,                0.21641,                0.08401,                0.27068,                0.17041,                 0.1626,                 0.0574,                 2.3944,                 3.5794,                 2.4596,                 2.2361,               0.009604,               0.009604,               0.009604
                     42,                 1.7287,                 2.7085,                 1.6074,                 1.6194,                0.42892,                0.45471,                0.33637,                0.15717,                0.38487,                0.40188,                0.27908,                0.12753,                  1.839,                 2.8601,                 1.9384,                 1.8241,              0.0095941,              0.0095941,              0.0095941
                     43,                  1.707,                 2.5721,                 1.5816,                 1.6281,                0.51023,                0.39365,                 0.3809,                0.17861,                0.45107,                0.35937,                0.32545,                0.13733,                 1.8874,                 2.9269,                 1.8229,                 1.9147,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.7018,                 2.6015,                 1.5758,                 1.6133,                0.49523,                0.27308,                0.31117,                0.14981,                0.38551,                0.24501,                0.26822,                 0.1209,                 1.9674,                 3.1996,                 2.4998,                 1.9408,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.6658,                 2.5478,                 1.5925,                 1.6036,                0.44809,                0.40392,                0.39362,                0.20016,                0.38189,                0.34969,                0.31577,                0.14398,                 1.7913,                 2.9163,                 1.7246,                  1.786,              0.0095644,              0.0095644,              0.0095644
